"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"131","my49923",21221,19820572,6,"S","Y","O","S","F","2","F",74,1
"132","qy22986",7731,12672548,NA,"","","","","","","M",NA,NA
"133","vy23497",10021,12431430,4,"S","N","O","M","D","1","M",26,NA
"134","sy43068",11379,18624149,NA,"M","","","S","G","1","F",22,NA
"135","ty27245",20010,13560648,NA,"","","","","","","Y",NA,NA
"136","qy36996",2043,16092570,12,"S","N","O","M","I","1","M",66,NA
"137","ox91039",2891,8648803,12,"S","Y","O","M","F","1","M",54,2
"138","wy41103",6450,8155536,7,"S","Y","O","M","G","1","M",44,3
"139","kx84853",10570,7941248,12,"S","Y","O","M","G","1","F",42,3
"140","ny23180",6410,12656696,NA,"","","","","","","",NA,NA
"141","ux75517",20001,5640756,NA,"","","","","","","Y",NA,NA
"142","ix29081",11570,2356688,NA,"","","","","","","",NA,NA
"143","hx85342",7960,6625962,NA,"S","","O","","F","1","M",36,1
"144","ey17332",20816,11477962,12,"S","N","O","M","D","1","F",78,1
"145","ay28117",8751,13897937,NA,"S","","","B","G","1","Y",30,NA
"146","sy20926",2188,12277237,11,"S","N","O","M","G","1","M",38,2
"147","ly51842",2188,20384436,8,"S","Y","O","M","","1","F",50,2
"148","xy25910",7981,13187403,8,"S","Y","O","M","G","2","Y",42,2
"149","yy50735",11735,20090098,8,"S","Y","O","S","B","1","Y",34,3
"150","vy46849",2127,19177436,11,"M","Y","O","M","H","3","",44,2
"151","hx82836",11530,7771730,12,"S","Y","O","M","H","1","F",38,1
"152","vy29127",21244,13983272,NA,"M","","","","E","1","F",NA,NA
"153","iy32265",21044,15033356,NA,"","","","","","","F",NA,NA
"154","uy17252",6105,11543298,11,"S","","O","M","C","1","Y",56,1
"155","ay34352",46218,15450760,NA,"","","","","","","Y",NA,NA
"156","fy39601",11385,9339548,NA,"","","","","","","",NA,NA
"157","cx86262",6478,8211188,10,"S","Y","O","M","G","1","Y",44,2
"158","xx88523",6779,8577156,5,"S","N","O","M","F","1","M",54,1
"159","zy45245",11520,18729903,5,"S","Y","O","M","H","1","Y",70,1
"160","mx87142",20904,8355296,NA,"M","","","","","3","Y",48,NA
"161","wy49706",11730,19832330,12,"S","N","O","M","E","1","F",60,1
"162","sy49920",11021,19886770,12,"S","N","O","A","F","1","M",80,1
"163","ty35997",8902,15825988,NA,"","","","","","","",NA,NA
"164","yy42726",60429,18538088,6,"S","N","O","S","","1","F",34,3
"165","jy23623",6902,12675660,7,"M","","O","S","","3","M",NA,NA
"166","gy39885",8742,13986337,12,"S","Y","O","M","G","1","M",50,1
"167","lx88603",60613,8590498,8,"M","N","O","","H","4","Y",38,2
"168","ly31078",11010,14759176,NA,"S","","O","","","2","F",32,NA
"169","dy23611",8837,8036562,11,"S","Y","O","S","F","1","F",32,3
"170","jy52173",6360,20460698,NA,"","","","","","","F",NA,NA
"171","lx12586",2215,1582088,10,"M","Y","O","M","H","1","Y",52,2
"172","ex79542",7405,7298036,8,"S","Y","O","M","F","1","Y",32,2
"173","iy21671",6604,12457349,7,"S","Y","O","M","B","1","Y",54,1
"174","py40365",60022,17886676,8,"S","Y","","B","B","1","F",46,3
"175","hy48047",22041,19508988,NA,"","","","","","","F",NA,NA
"176","ny45765",53204,19147449,NA,"","","","","","","F",NA,NA
"177","ky35253",60026,15420837,11,"S","Y","O","A","","1","Y",34,1
"178","sy30111",60614,14082603,9,"M","","","B","C","1","Y",30,2
"179","my46705",7649,15168270,9,"S","Y","O","M","H","1","F",42,3
"180","zy45388",10025,18942849,NA,"","","","","","","Y",NA,NA
"181","ky38181",2906,17298356,NA,"S","","","B","","3","Y",72,NA
"182","jy20230",20052,12112349,NA,"","","","","","","",NA,NA
"183","by36467",2155,15934698,NA,"S","Y","O","A","","2","F",36,2
"184","my23975",8701,12842798,NA,"","","","","","","M",NA,NA
"185","hy48934",8876,19478836,NA,"","","","","","","Y",NA,NA
"186","ky19616",6840,12023956,12,"S","N","O","S","F","3","F",44,NA
"187","cy43692",60005,18768172,NA,"","","","","","","Y",NA,NA
"188","ry33880",19136,15358896,8,"S","N","O","M","H","1","M",66,NA
"189","ry38193",60007,15825730,NA,"","","","","","","",NA,NA
"190","nx37950",2563,2841062,NA,"","","","","","","Y",NA,NA
"191","fx05970",1810,1263003,11,"S","Y","O","A","E","2","F",42,3
"192","ox62097",21230,5244249,8,"S","Y","","M","","3","Y",50,2
"193","dx68257",11720,4545156,NA,"S","","O","B","","2","F",66,1
"194","ay25482",22209,12997003,7,"S","N","O","M","C","1","F",44,2
"195","fx39381",10803,3005062,13,"S","Y","O","M","J","1","F",48,NA
"196","kx96574",1028,10748772,10,"S","","O","","E","1","F",28,NA
"197","dy38788",10001,17598170,NA,"","","","","","","Y",NA,NA
"198","oy32887",20874,15166156,NA,"S","","","B","H","1","Y",30,1
"199","xx78287",2113,7150662,8,"M","Y","O","S","E","4","Y",28,3
"200","iy27881",10466,13629948,NA,"S","","","B","","3","",50,NA
"201","vy51121",2726,20199098,9,"S","Y","O","M","G","1","M",48,3
"202","ky19788",21046,12020103,12,"S","N","O","M","H","1","M",64,3
"203","xy47072",21212,19352462,7,"S","Y","O","M","D","1","M",82,3
"204","lx78369",60423,7143870,8,"S","N","O","M","F","1","F",38,3
"205","ix05635",21042,1237703,11,"S","Y","O","S","E","1","F",40,3
"206","ey28608",8527,14086160,6,"S","Y","O","","E","1","F",36,1
"207","by37057",20910,16117948,NA,"","","","","","","M",NA,NA
"208","hy41533",60050,18163788,7,"S","Y","O","A","F","1","F",54,2
"209","uy17755",21228,11649770,NA,"","","","","","","",NA,NA
"210","vy25315",7728,12893636,12,"S","Y","O","M","H","1","F",44,2
"211","dy41105",11768,18142696,NA,"S","","O","","E","1","F",28,3
"212","ry40907",1757,18102098,9,"S","N","O","M","H","1","M",68,2
"213","jy27532",3079,13734948,4,"S","N","O","S","F","1","Y",54,2
"214","tx96634",11580,10757156,NA,"S","","O","M","A","3","F",52,NA
"215","dx36512",20002,2844188,NA,"","","","","","","F",NA,NA
"216","uy20630",60126,12228836,NA,"S","","","","","1","F",32,1
"217","ry50947",8544,20155360,NA,"","","","","","","Y",NA,NA
"218","vy45585",11703,19114996,11,"M","Y","O","M","C","4","Y",28,3
"219","wy18357",2143,11769262,6,"M","Y","O","M","G","1","Y",36,1
"220","by34189",20001,14978398,NA,"","","","","","","Y",NA,NA
"221","zy37568",2093,17276936,11,"S","Y","O","","C","1","F",40,2
"222","vy29755",8831,14445960,3,"S","N","O","S","","2","M",72,1
"223","oy31627",2215,14875998,8,"M","N","O","S","","3","Y",26,1
"224","jx93594",2120,10202236,NA,"","","","","","","",NA,NA
"225","dx45110",6880,3402156,12,"S","Y","O","M","H","1","Y",48,2
"226","dy30451",11010,14603898,12,"S","N","O","A","","1","M",28,1
"227","ty27211",60077,12905837,NA,"","","","","","","M",NA,NA
"228","vx95157",11776,10387976,8,"S","Y","O","M","B","1","Y",50,2
"229","vy38853",11720,17620872,8,"S","","O","S","","3","Y",56,2
"230","ex77812",20001,7104449,5,"M","","O","S","F","1","F",44,2
"231","ex60673",22046,5072449,12,"S","Y","O","M","J","3","M",62,2
"232","ry31877",20009,14945398,7,"M","Y","O","S","","1","Y",44,3
"233","yy19211",6511,11770372,NA,"","","","","","","Y",NA,NA
"234","jx08935",2540,1432203,9,"S","","O","S","","3","M",40,2
"235","hx63120",6033,5368960,11,"S","Y","O","M","B","1","Y",48,2
"236","ay26737",11742,13491937,NA,"","","","","","","",NA,NA
"237","cy34851",21045,9122988,NA,"","","","","","","",NA,NA
"238","ay34930",10014,15545437,8,"M","N","O","S","F","1","M",74,1
"239","lx61620",7068,5193476,11,"S","Y","O","M","H","1","Y",50,1
"240","xx48820",6238,3762548,8,"S","Y","O","M","G","1","F",40,2
"241","iy24616",6382,12953798,3,"M","","O","S","","2","",58,NA
"242","zy49447",11561,19782549,NA,"S","Y","O","S","","1","Y",60,2
"243","cy20237",7205,12169456,3,"S","N","O","M","","1","F",90,2
"244","ly51142",11378,20200949,NA,"S","","","","","1","F",32,NA
"245","ty48476",2118,19580160,4,"M","","","","","1","F",38,3
"246","py42236",6010,18306276,5,"S","","O","M","","1","M",76,2
"247","gx86102",60515,8180430,NA,"","","","","","","Y",NA,NA
"248","cy25705",20001,13203503,NA,"","","","","","","",NA,NA
"249","wy35965",2116,15811572,NA,"","","","","","","M",NA,NA
"250","my50110",2050,19924772,13,"S","Y","O","M","E","1","F",38,2
"251","qy41220",10011,18156470,NA,"","","","","","","Y",NA,NA
"252","zy34965",11780,15569576,7,"S","","O","S","","1","Y",26,NA
"253","hy48356",7452,19553970,13,"S","Y","O","A","E","1","F",26,NA
"254","zy49840",7750,19865162,12,"S","N","O","M","F","1","M",54,2
"255","sx83674",60657,7858776,12,"S","N","O","","G","1","M",30,3
"256","jy33405",11772,15269762,7,"S","Y","O","M","","1","Y",28,1
"257","sy37961",10465,17376488,9,"S","N","R","","B","1","",38,3
"258","ny40155",60614,17926048,11,"S","","","S","","3","F",36,NA
"259","sy20542",60601,12233796,NA,"","","","","","","M",NA,NA
"260","dy44389",11354,18900936,NA,"","","","","","","",NA,NA
"261","py38666",8757,17557649,1,"S","N","O","M","","1","M",88,1
"262","ny31590",1001,12664230,6,"S","Y","O","M","C","1","Y",34,1
"263","cy37686",21225,17311056,NA,"","","","","","","",NA,NA
"264","by48321",10306,19546198,NA,"S","Y","O","M","","3","F",44,2
"265","by38667",6484,17556970,NA,"","","","","","","M",NA,NA
"266","ey47273",11724,19384203,13,"S","Y","O","M","H","1","F",42,2
"267","xx96918",2210,10744630,NA,"","","","","","","Y",NA,NA
"268","cy17710",8752,10907776,6,"S","Y","O","M","G","1","Y",66,1
"269","xy41822",60607,18293576,13,"S","Y","O","M","D","1","M",24,NA
"270","jy38650",20002,17487798,8,"M","Y","O","A","","4","Y",50,3
"271","ty50146",6705,19932762,NA,"","","","","","","",NA,NA
"272","jy39946",10307,17186170,8,"S","","R","S","C","1","F",46,1
"273","by26040",20121,13292988,10,"S","Y","O","S","G","1","F",54,3
"274","dy23814",2601,12823198,NA,"","","","","","","Y",NA,NA
"275","ly41867",11706,18310303,NA,"","","","","","","Y",NA,NA
"276","ny50402",60605,19998537,NA,"","","","","","","",NA,NA
"277","sy40656",2155,18052870,NA,"","","","","","","",NA,NA
"278","ty20886",60657,12298236,NA,"","","","","","","",NA,NA
"279","xy33585",60639,15317376,3,"S","","O","S","F","1","Y",42,NA
"280","bx91173",2748,8988898,12,"S","N","O","M","C","2","F",58,2
"281","jy48422",11780,19505398,12,"S","N","O","M","B","3","Y",44,1
"282","vy28051",2127,13924362,NA,"","","","","","","Y",NA,NA
"283","ay31352",20783,14475472,NA,"M","","","","","3","Y",NA,NA
"284","ex96892",6492,10738848,NA,"","","","","","","Y",NA,NA
"285","gy31658",11729,14897172,NA,"","","","","","","Y",NA,NA
"286","sx71464",2118,6344730,NA,"","","","","","","Y",NA,NA
"287","wx96563",60647,10743698,NA,"","","","","","","",NA,NA
"288","uy36062",2114,15837598,NA,"","","","","","","",NA,NA
"289","my45242",60532,19007572,8,"S","Y","O","S","","1","Y",44,2
"290","dy22319",6612,12577936,11,"S","","O","A","","2","Y",36,2
"291","cy38671",11796,15221588,7,"S","Y","O","M","H","1","F",38,1
"292","py47615",20706,19433137,NA,"","","","","","","",NA,NA
"293","ey18090",2118,11593703,NA,"","","","","","","",NA,NA
"294","sy46366",2740,19246998,NA,"","","","","","","",NA,NA
"295","hx06281",20165,1286872,7,"S","","O","S","A","1","Y",46,1
"296","uy23022",2360,12650256,11,"S","N","O","S","C","1","Y",42,3
"297","oy46136",11779,19207988,NA,"S","","O","","","1","M",62,2
"298","cx20570",2703,1999296,8,"M","Y","O","M","H","2","Y",48,3
"299","cy32413",60201,15068230,NA,"","","","","","","Y",NA,NA
"300","ky29931",60124,14329270,NA,"","","","","","","",NA,NA
"301","cy45485",11901,19105362,NA,"","","","","","","",NA,NA
"302","vy17477",2474,11600636,11,"S","Y","O","M","F","1","M",38,3
"303","fy46079",21237,10480736,7,"S","Y","O","S","H","1","Y",40,2
"304","mx57114",60657,4687149,NA,"S","Y","O","","E","2","Y",38,NA
"305","gx19660",2138,1789062,11,"S","N","O","M","","2","Y",62,2
"306","my29791",8752,14436403,NA,"","","","","","","",NA,NA
"307","kx82103",21774,7689603,12,"S","Y","O","M","H","1","F",44,1
"308","iy43275",1588,18672148,5,"S","","O","M","E","1","F",38,3
"309","sy28215",11772,13968930,8,"S","Y","O","M","G","3","Y",46,2
"310","qy31562",10954,14874872,12,"S","Y","O","","","1","F",50,3
"311","dy42841",21012,18571030,12,"S","Y","O","","","1","F",30,1
"312","px58484",6450,4820976,7,"S","Y","O","M","I","1","M",66,2
"313","dy30802",6085,14690503,11,"S","Y","O","M","H","1","M",36,NA
"314","sy39623",60655,17817649,11,"S","","O","S","E","2","Y",36,3
"315","ay48607",8648,19607772,NA,"","","","","","","M",NA,NA
"316","ey28886",2633,14171230,11,"S","","O","A","","1","F",36,2
"317","ky45530",60004,19110037,10,"S","Y","O","M","G","1","Y",38,1
"318","my28156",11716,13959262,NA,"","","","","","","",NA,NA
"319","sy41738",60637,18272037,NA,"M","","","B","","1","Y",28,1
"320","jy26645",46219,13465296,3,"S","Y","O","S","B","1","M",54,1
"321","dy26398",2467,13389930,8,"S","","O","S","A","3","F",30,3
"322","ny28556",10011,14070756,NA,"","","","","","","M",NA,NA
"323","py40324",11968,17376176,12,"S","Y","O","M","B","1","Y",46,1
"324","cy41313",60614,18168062,NA,"","","","","","","",NA,NA
"325","dy51840",2474,20380188,9,"S","N","O","M","","1","M",60,NA
"326","ax94769",7762,10312676,NA,"S","Y","O","M","H","1","M",86,NA
"327","vy23655",2747,12796072,8,"S","Y","O","M","F","1","F",38,1
"328","dy25995",2116,13278549,6,"M","","O","S","","3","Y",28,NA
"329","py44220",8742,18605060,13,"S","Y","O","A","E","1","Y",42,3
"330","ry26602",1002,13265088,8,"S","N","O","S","F","1","Y",60,3
"331","kx74937",20816,6742262,1,"S","Y","O","M","A","1","M",36,2
"332","sy46323",11780,19238798,11,"S","Y","O","M","H","1","F",56,3
"333","oy25783",10023,13225630,NA,"","","","","","","M",NA,NA
"334","jx96524",2144,10738588,11,"S","N","O","M","","2","F",44,3
"335","py36450",2703,15923537,NA,"","","","","","","",NA,NA
"336","iy31558",11201,14850656,NA,"M","Y","","M","E","2","Y",28,1
"337","gy50676",6708,17913903,5,"M","Y","R","M","E","4","M",68,3
"338","qy47314",19118,19392448,13,"S","N","O","M","C","1","M",74,2
"339","by49127",11692,19711349,NA,"","","","","","","Y",NA,NA
"340","xx92538",2919,9947596,7,"S","Y","O","M","F","3","Y",30,3
"341","cy31545",7981,14606137,4,"M","","O","S","","3","Y",82,2
"342","iy39083",11703,9798548,8,"S","N","O","M","H","1","Y",54,2
"343","dx94587",2127,10317103,NA,"M","Y","O","","H","2","F",90,3
"344","ry45088",8861,19038149,NA,"","","","","","","F",NA,NA
"345","vy45555",1545,19110130,NA,"","","","","","","",NA,NA
"346","ix67668",20024,5917596,NA,"","","","","","","Y",NA,NA
"347","ky31415",19008,14836656,7,"S","Y","O","S","E","1","Y",32,2
"348","uy36526",60707,15952788,NA,"","","","","","","",NA,NA
"349","uy44946",11790,19003237,13,"S","Y","O","S","F","1","Y",50,NA
"350","py21047",60607,12343588,8,"S","","O","M","H","1","M",66,1
"351","xy37912",1906,17356003,4,"S","","","","","1","F",54,2
"352","zy28051",7305,12641370,NA,"","","","","","","M",NA,NA
"353","qx74219",2908,6657288,NA,"","","","","","","F",NA,NA
"354","vz23512",1760,304972,9,"S","N","O","S","E","1","Y",60,2
"355","ix83235",6415,7821948,NA,"","","","","","","F",NA,NA
"356","ex82173",2726,7696137,7,"S","Y","O","S","E","1","Y",40,1
"357","lx96430",20191,10716076,NA,"M","","","B","F","4","Y",36,2
"358","ey28007",20002,13916988,3,"S","Y","O","M","E","2","M",NA,NA
"359","oy41673",20002,18242336,NA,"","","","","","","Y",NA,NA
"360","by26377",6370,13373703,7,"S","N","O","M","A","2","F",42,1
"361","cx90587",11694,8837696,7,"S","Y","O","M","H","1","Y",34,1
"362","fy44651",1880,18573372,12,"S","N","O","M","D","1","F",54,3
"363","ay26750",6708,9379262,NA,"","","","","","","",NA,NA
"364","ly30442",21204,14599970,11,"S","N","O","M","C","1","Y",56,3
"365","ey38814",60611,17605060,NA,"","","","","","","",NA,NA
"366","yx42906",21209,3165837,NA,"","","","","","","Y",NA,NA
"367","yy40772",6511,18074470,NA,"","","","","","","Y",NA,NA
"368","ex64263",2472,5300260,5,"S","N","O","S","B","1","M",52,NA
"369","vy31701",6851,14905636,NA,"","","","","","","F",NA,NA
"370","sy41856",10128,18300348,NA,"M","","","","H","5","M",72,2
"371","xy24861",2138,12934237,1,"S","N","O","M","B","1","M",60,3
"372","hx68304",1904,5950930,NA,"","","","","","","",NA,NA
"373","zy46656",21703,19300036,5,"S","Y","R","S","H","2","M",22,NA
"374","ox76553",20001,6939972,NA,"M","","O","","G","4","Y",36,NA
"375","ky48101",11693,19514588,6,"M","Y","O","M","G","1","M",60,2
"376","hy24036",20878,12679670,NA,"M","","","","E","4","F",94,NA
"377","ky49026",20712,19690272,NA,"","","","","","","Y",NA,NA
"378","nz22163",2127,184672,9,"M","Y","O","S","F","3","Y",44,1
"379","fy35655",11741,15690003,NA,"","","","","","","",NA,NA
"380","ly44364",60605,18890637,9,"S","Y","O","A","B","2","M",50,3
"381","qy52195",11949,20456637,NA,"","","","","","","F",NA,NA
"382","my47427",6489,19362596,NA,"M","","O","S","","5","M",40,1
"383","bx82618",10512,7749162,8,"S","Y","O","S","G","1","F",36,2
"384","px49146",7079,3788862,3,"S","Y","O","S","G","1","M",64,2
"385","sy32348",10010,15056848,NA,"","","","","","","Y",NA,NA
"386","ux38627",2837,2953796,9,"S","","O","","H","1","F",44,NA
"387","gy50516",2807,20026949,NA,"","","","","","","",NA,NA
"388","cy37370",21210,17209276,NA,"","","","","","","M",NA,NA
"389","ux72242",2093,6429788,NA,"S","Y","O","S","F","1","Y",38,2
"390","fy33361",10065,9757472,NA,"","","","","","","M",NA,NA
"391","rx90020",11778,8778237,3,"S","","O","S","E","3","Y",28,1
"392","ky16040",11743,11209188,NA,"","","","","","","Y",NA,NA
"393","yy43662",60510,18759696,NA,"S","Y","","","","1","F",32,4
